Date,Total Tourist Arrivals,Sri Lanka Hotels,Sri Lanka Flights,Sri Lanka Visa
6/1/2022,32856,20,13,50
7/1/2022,47293,20,14,42
8/1/2022,37760,26,12,42
9/1/2022,29802,23,12,39
10/1/2022,42026,23,12,37
11/1/2022,59759,24,13,36
12/1/2022,91961,25,14,32
1/1/2023,102545,28,19,37
2/1/2023,107639,23,16,40
3/1/2023,125495,23,17,37
4/1/2023,105498,25,15,32
5/1/2023,83309,24,15,39
6/1/2023,100388,27,16,37
7/1/2023,143039,28,18,39
8/1/2023,136405,27,16,38
9/1/2023,111938,29,17,36
10/1/2023,109199,24,16,34
11/1/2023,151496,28,18,34
12/1/2023,210352,30,18,33
1/1/2024,208253,32,22,38
2/1/2024,218350,29,19,39
3/1/2024,209181,28,18,29
4/1/2024,148867,28,17,34
5/1/2024,112128,27,16,35
6/1/2024,113470,27,17,30
7/1/2024,187810,29,17,32
8/1/2024,164609,31,20,35
9/1/2024,122140,30,18,31
10/1/2024,135907,28,19,28
11/1/2024,184158,28,20,28
12/1/2024,248592,31,21,27
1/1/2025,252761,34,26,32
2/1/2025,240217,29,23,31
3/1/2025,229298,29,22,27
4/1/2025,174608,29,19,26
5/1/2025,132919,28,20,26
6/1/2025,138241,29,21,27
7/1/2025,200244,36,26,32
8/1/2025,198235,73,88,28
9/1/2025,158971,74,100,26
